,ds,yhat,yhat_lower,yhat_upper,trend
11315,2024-08-12,425.38537814743535,356.24826828854594,496.5588409884241,423.4193552149363
11316,2024-08-13,425.7797011338574,357.99771938081926,495.6476680292155,423.45773615426674
11317,2024-08-14,425.9506774788903,354.93715730871594,494.9809538846896,423.49611709359726
11318,2024-08-15,425.93613952094955,359.7363285470141,493.02484573278866,423.53449803292773
11319,2024-08-16,426.1217167019031,354.7994065751033,496.1792584350582,423.5728789722581
11320,2024-08-19,425.9658569671204,353.7103510527407,501.1314713802145,423.68802179024937
11321,2024-08-20,426.4897278319179,357.18854967562413,495.7110246356102,423.7264027295799
11322,2024-08-21,426.7733057252927,360.13361341964946,496.2080910466274,423.76478366891035
11323,2024-08-22,426.85335153079876,355.0189413417879,494.5466608635636,423.8031646082406
11324,2024-08-23,427.11447883579876,361.06239572600145,498.39607965585043,423.84154554757106
11325,2024-08-26,427.06166131558416,360.8125530507915,499.3260717621964,423.9566883655625
11326,2024-08-27,427.57581303100534,356.44987183611676,494.6715075998765,423.995069304893
11327,2024-08-28,427.8263794058776,356.8602981609872,498.4920387404507,424.03345024422333
11328,2024-08-29,427.8495080594537,364.69655389458023,495.27771117817394,424.0718311835537
11329,2024-08-30,428.0293300089387,362.495846347097,498.8468706970535,424.11021212288415
11330,2024-09-02,427.58409533961134,355.3506388871519,499.9077899469321,424.2253549408755
11331,2024-09-03,427.9183586361447,358.5450601647584,500.6164727958072,424.26373588020596
11332,2024-09-04,427.9654080665303,359.31320607740435,494.7569791056124,424.3021168195364
11333,2024-09-05,427.7624384403994,353.89402913989875,502.6384122216431,424.3404977588669
11334,2024-09-06,427.6950064522132,352.3814272652446,494.81300123559896,424.3788786981973
11335,2024-09-09,426.4014885577583,355.7709336012933,498.7536563128891,424.4940215161886
11336,2024-09-10,426.4264217234447,355.2471394769409,498.0409130903826,424.53240245551905
11337,2024-09-11,426.15638673056964,362.9704341276059,499.66966577044286,424.5707833948495
11338,2024-09-12,425.63249803721664,359.3132753788841,498.47123380485704,424.60916433418004
11339,2024-09-13,425.2445867765501,353.13176567739964,492.37021737448606,424.6475452735104
11340,2024-09-16,423.03920942447195,352.6178892048843,497.39072066502354,424.7626880915017
11341,2024-09-17,422.7932758925487,352.08264189739486,494.6643297000537,424.8010690308322
11342,2024-09-18,422.2773638614639,356.51050577109146,492.0758746176575,424.83944997016266
11343,2024-09-19,421.53755741356247,349.83359650876986,490.3293381146543,424.877830909493
11344,2024-09-20,420.968448692926,348.847242895572,490.32400197980144,424.91621184882337
11345,2024-09-23,418.4700546013213,346.55874930905935,487.7692602191815,425.0313546668148
11346,2024-09-24,418.22154800862137,344.6764319923052,488.937715450918,425.0697356061453
11347,2024-09-25,417.7548066876728,345.5577256421372,485.4365693198082,425.10811654547564
11348,2024-09-26,417.11729801446813,346.22017947332563,491.1838337968201,425.1464974848061
11349,2024-09-27,416.7041464852582,345.545398294573,488.3459443251338,425.18487842413646
11350,2024-09-30,414.98726158392645,344.38531697263033,489.86149211626764,425.3000212421278
11351,2024-10-01,415.0963643852333,342.9372991194089,480.7127722184836,425.33840218145826
11352,2024-10-02,415.0297667191618,344.2084680900188,486.183477811022,425.37678312078873
11353,2024-10-03,414.8300238088916,342.21591354721534,488.17909113436855,425.4151640601192
11354,2024-10-04,414.88657175766224,347.05666096141476,489.21614914286477,425.4535449994497
11355,2024-10-07,414.703896420243,346.5176076310117,486.8043168035163,425.5686878174409
11356,2024-10-08,415.3415730400786,337.5901739819746,492.91175098672085,425.60706875677135
11357,2024-10-09,415.79916245455615,337.6746871404751,482.790846980798,425.6454496961018
11358,2024-10-10,416.11132791913684,343.0274015114912,491.0749787728976,425.68383063543234
11359,2024-10-11,416.65976087019686,340.2433311518409,488.3638888723859,425.7222115747628
11360,2024-10-14,417.7606495371879,342.75727410980437,489.83937647245943,425.837354392754
11361,2024-10-15,418.74103680900726,350.28575286698907,494.97035734503197,425.87573533208445
11362,2024-10-16,419.49011142744797,343.6079933575416,493.12462264662065,425.91411627141497
11363,2024-10-17,420.0387252668201,343.330364409139,494.8359693981982,425.9524972107453
11364,2024-10-18,420.7658025390838,348.3845055994553,500.4045368961968,425.9908781500758
11365,2024-10-21,422.0448552146115,349.12982445015706,498.3608830226177,426.10602096806707
11366,2024-10-22,422.9674241816977,343.84191760543683,499.48973147989307,426.1444019073976
11367,2024-10-23,423.60389270085125,357.67535243806594,499.7698706257806,426.18278284672795
11368,2024-10-24,423.9889696032217,351.2737785259014,500.7828044588474,426.2211637860584
11369,2024-10-25,424.50636518531604,351.11938666595324,500.6399119846745,426.2595447253889
11370,2024-10-28,424.938822827055,350.7143103254335,504.8209161526205,426.3746875433801
11371,2024-10-29,425.52928578736174,356.1209250688916,504.8144498853054,426.41306848271057
11372,2024-10-30,425.82086767779936,349.75328248302367,499.5427096211808,426.45144942204104
11373,2024-10-31,425.8557519864214,352.152445656371,503.25833517815465,426.4898303613715
11374,2024-11-01,426.0249997301809,346.7747044361711,507.0924270703788,426.52821130070197
11375,2024-11-04,425.49351723858615,345.45108631783006,508.7387387653861,426.6433541186932
11376,2024-11-05,425.80945083884706,352.4045154853337,504.6072721471038,426.68173505802366
11377,2024-11-06,425.858025242923,351.58223735522824,502.245329299649,426.7201159973541
11378,2024-11-07,425.6849809429788,350.40036271791257,502.89972063484845,426.7584969366846
11379,2024-11-08,425.6839549884821,354.3843777334269,510.26820941600084,426.7968778760151
11380,2024-11-11,424.87800327691986,343.2380044945273,505.10956406993284,426.9120206940063
11381,2024-11-12,425.1796293867535,356.12173230426856,504.89952415976256,426.95040163333675
11382,2024-11-13,425.24928698702166,342.20816731910054,501.5281445951793,426.9887825726673
11383,2024-11-14,425.12950708881175,345.7785214477684,499.73649323688716,427.0271635119976
11384,2024-11-15,425.20999829383277,344.560278845562,500.1440009407471,427.0655444513281
11385,2024-11-18,424.77074927896314,346.13583761889805,503.7303467753601,427.1806872693194
11386,2024-11-19,425.2178532217134,338.33777964488127,497.94264427061813,427.2190682086499
11387,2024-11-20,425.43556536032384,350.8710858529976,506.8874746762119,427.25744914798025
11388,2024-11-21,425.4611280734734,349.8815268637418,506.4398871586999,427.2958300873107
11389,2024-11-22,425.6792611882259,345.7334749166942,504.67235660920676,427.3342110266412
11390,2024-11-25,425.56408937838455,341.23149352465583,504.5509554854961,427.44935384463236
11391,2024-11-26,426.0785684562321,347.6863507636616,499.22281436857133,427.4877347839629
11392,2024-11-27,426.3396947124319,345.8085459460691,506.1432835100775,427.52611572329334
11393,2024-11-28,426.38377014647665,349.4281022112683,511.17233365281487,427.5644966626238
11394,2024-11-29,426.59543134658776,351.9240035430999,504.88006155333005,427.6028776019543
11395,2024-12-02,426.32254492629636,346.8239854246933,517.864868513545,427.7180204199455
11396,2024-12-03,426.74601109152405,348.08711304251136,502.8375943825411,427.75640135927597
11397,2024-12-04,426.9023479460921,348.4224688198924,507.83870605923477,427.79478229860644
11398,2024-12-05,426.83187418922154,344.5200955363203,513.0124390242679,427.8331632379369
11399,2024-12-06,426.92357038045753,353.2405235334923,507.033284461498,427.8715441772674
11400,2024-12-09,426.3037431903496,346.42898938647545,503.45927413328036,427.9866869952586
11401,2024-12-10,426.63070964667577,345.86476458212445,505.8728104812577,428.02506793458906
11402,2024-12-11,426.70689190129747,337.38114043430556,510.93731748851116,428.0634488739195
11403,2024-12-12,426.57601773319504,344.3969079476948,508.5452652991344,428.1018298132499
11404,2024-12-13,426.62988549285853,352.8563845144538,505.0430315822077,428.1402107525804
11405,2024-12-16,426.0495891353444,343.2191104223523,511.19723259146133,428.2553535705717
11406,2024-12-17,426.44268981149895,344.0226467887549,513.464580238408,428.29373450990215
