,Date,Price,Open,High,Low,Vol.,Change %
6615,1997-09-02,377.75,376,379.75,372.5,4.79K,6.63%
6616,1997-08-29,378.25,375.25,382,374.5,3.92K,0.60%
6617,1997-08-28,376,371.5,378,368.75,10.87K,1.28%
6618,1997-08-27,371.25,363.5,372,362.5,10.73K,1.99%
6619,1997-08-26,364,365,366.75,363,5.37K,-0.34%
6620,1997-08-25,365.25,368.5,368.5,361,3.92K,-0.95%
6621,1997-08-22,368.75,368.25,372.5,368,6.88K,-0.20%
6622,1997-08-21,369.5,363.5,370,363.5,5.72K,1.72%
6623,1997-08-20,363.25,360.5,365,360.5,5.26K,0.69%
6624,1997-08-19,360.75,357.75,362,357.75,3.31K,0.91%
6625,1997-08-18,357.5,353.5,359.5,353,3.21K,0.99%
6626,1997-08-15,354,354.75,358,351.5,5.58K,-0.35%
6627,1997-08-14,355.25,361.25,361.25,355,4.09K,-1.66%
6628,1997-08-13,361.25,360,363.25,355.5,7.66K,0.07%
6629,1997-08-12,361,364,373,360.5,11.15K,-0.76%
6630,1997-08-11,363.75,366.75,367.25,362,6.86K,-0.95%
6631,1997-08-08,367.25,363.25,368,362,7.69K,1.10%
6632,1997-08-07,363.25,362.25,367,358,7.99K,0.28%
6633,1997-08-06,362.25,353.25,363,353.25,6.68K,2.55%
6634,1997-08-05,353.25,353.75,354,348,5.90K,-0.42%
6635,1997-08-04,354.75,362,367,353.5,8.23K,-1.87%
6636,1997-08-01,361.5,362,363.5,358,4.87K,-0.14%
6637,1997-07-31,362,356,364,353,9.27K,1.61%
6638,1997-07-30,356.25,358,360,352,6.90K,-0.49%
6639,1997-07-29,358,357.5,360.5,355,5.85K,0.14%
6640,1997-07-28,357.5,355.5,364,355.25,8.16K,-0.28%
6641,1997-07-25,358.5,358,361,353.5,9.41K,0.00%
6642,1997-07-24,358.5,357,359,353,11.59K,0.49%
6643,1997-07-23,356.75,350,359,349.75,18.52K,4.31%
6644,1997-07-22,342,338,342,338,0.43K,2.86%
6645,1997-07-21,332.5,323.5,332.5,323.5,0.20K,1.22%
6646,1997-07-18,328.5,328,330,327,0.35K,1.08%
6647,1997-07-17,325,324,327,323,0.48K,0.00%
6648,1997-07-16,325,330,330,325,1.11K,-2.11%
6649,1997-07-15,332,328.5,334,325.5,2.57K,0.91%
6650,1997-07-14,329,330,335,327,0.35K,2.17%
6651,1997-07-11,322,317.5,325.5,315,0.32K,0.16%
6652,1997-07-10,321.5,326,326,321,0.71K,-1.30%
6653,1997-07-09,325.75,317.5,330,317.5,2.11K,2.92%
6654,1997-07-08,316.5,314,319.5,313,2.33K,0.96%
6655,1997-07-07,313.5,318.75,318.75,313,1.82K,-2.11%
6656,1997-07-03,320.25,322,324.5,320,2.77K,-1.16%
